paper_title,author,year,intervention_name,scale_name,delay,u_s_d,d,se_d,var_d
Acquaintance Rape Workshops: Their Effectiveness in Changing the Attitudes of First Year College Men,earle,1996,men facilitated by peers,attitude towards rape,0,2.99,0.416,0.1414213562373095,0.02
Acquaintance Rape Workshops: Their Effectiveness in Changing the Attitudes of First Year College Men,earle,1996,coed facilitated by professional staff,attitude towards rape,0,0.937,0.155,0.16431676725154984,0.027
Training Effectiveness of a Sexual Harassment Awareness and Prevention Program,biviano,1997,sexual harassment awareness and prevention workshop,knowledge of policy and procedure (kpp) ,14,0.83,0.477,0.15491933384829668,0.024
The effectiveness of a sex role socialization-focused date rape prevention program in reducing rape-supportive attitudes in college fraternity men,davis,1997,socialization-focused intervention,rape myth acceptance,0,5.71,0.345,0.260768096208106,0.068
The effectiveness of a sex role socialization-focused date rape prevention program in reducing rape-supportive attitudes in college fraternity men,davis,1997,socialization-focused intervention,rape myth acceptance,42,5.38,0.278,0.260768096208106,0.068
The effectiveness of a sex role socialization-focused date rape prevention program in reducing rape-supportive attitudes in college fraternity men,davis,1997,traditional education intervention,rape myth acceptance,0,7.09,0.428,0.26267851073127396,0.069
The effectiveness of a sex role socialization-focused date rape prevention program in reducing rape-supportive attitudes in college fraternity men,davis,1997,traditional education intervention,rape myth acceptance,42,6.48,0.335,0.260768096208106,0.068
Attitude Change Towards Rape and Dating Violence Following an Acquaintance Rape Prevention Program in a Rural Southern High School,fay,1997,treatment,rape myth acceptance,0,-6.14,0.577,0.16431676725154984,0.027
Attitude Change Towards Rape and Dating Violence Following an Acquaintance Rape Prevention Program in a Rural Southern High School,fay,1997,treatment,rape myth acceptance,152,8.47,0.704,0.21213203435596426,0.045
Providing Direct Counter-Arguments to Challenge Male Audience's Attitudes toward Rape,gillies,1997,direct counter arguments + rape video,rape myth acceptance,0,-1.1,-0.111,0.161245154965971,0.026
Providing Direct Counter-Arguments to Challenge Male Audience's Attitudes toward Rape,gillies,1997,direct counter arguments + rape video,rape myth acceptance,28,1.09,0.098,0.161245154965971,0.026
Providing Direct Counter-Arguments to Challenge Male Audience's Attitudes toward Rape,gillies,1997,direct counter arguments + rape video,take phone number to volunteer on campus,28,0,0,0.161245154965971,0.026
Providing Direct Counter-Arguments to Challenge Male Audience's Attitudes toward Rape,gillies,1997,standard practice + rape video,rape myth acceptance,0,0.31,0.031,0.16431676725154984,0.027
Providing Direct Counter-Arguments to Challenge Male Audience's Attitudes toward Rape,gillies,1997,standard practice + rape video,rape myth acceptance,28,1.5,0.135,0.16431676725154984,0.027
Providing Direct Counter-Arguments to Challenge Male Audience's Attitudes toward Rape,gillies,1997,standard practice + rape video,take phone number to volunteer on campus,28,0,0,0.16431676725154984,0.027
An Evaluation of Dating Violence Prevention Program for Middle School Students,macgowan,1997,teen dating violence prevention program,evaluation measure,3,0.01,0.03,0.322490309931942,0.104
Date Rape Prevention Programs: Effects on College Students' Attitudes,murphy,1997,three sessions,rape myth acceptance,3,0.0347,-0.159,0.1673320053068151,0.028
Date Rape Prevention Programs: Effects on College Students' Attitudes,murphy,1997,three sessions,rape myth acceptance,28,-0.1412,0.647,0.17606816861659008,0.031
Date Rape Prevention Programs: Effects on College Students' Attitudes,murphy,1997,one session,rape myth acceptance,3,0.1309,-0.6,0.17029386365926402,0.029
Date Rape Prevention Programs: Effects on College Students' Attitudes,murphy,1997,one session,rape myth acceptance,28,-0.08,0.367,0.17320508075688773,0.03
The Evaluation of a University Based Acquaintance Rape Prevention Program,northam,1997,dorm - rape prevention program,rape myth acceptance - rotc,0,-1.465,-0.189,0.2024845673131659,0.041
The Evaluation of a University Based Acquaintance Rape Prevention Program,northam,1997,dorm - rape prevention program,rape myth acceptance - rotc,91,-0.135,-0.017,0.2024845673131659,0.041
The Evaluation of a University Based Acquaintance Rape Prevention Program,northam,1997,dorm - rape prevention program,ses - male - rotc (perpetration),0,0.105,0.111,0.2024845673131659,0.041
The Evaluation of a University Based Acquaintance Rape Prevention Program,northam,1997,dorm - rape prevention program,ses - male - rotc (perpetration),91,0.03,0.032,0.2024845673131659,0.041
The Evaluation of a University Based Acquaintance Rape Prevention Program,northam,1997,rotc - rape prevention program,rape myth acceptance - dorm,0,-2.32,-0.226,0.216794833886788,0.047
The Evaluation of a University Based Acquaintance Rape Prevention Program,northam,1997,rotc - rape prevention program,rape myth acceptance - dorm,91,-0.955,-0.093,0.216794833886788,0.047
The Evaluation of a University Based Acquaintance Rape Prevention Program,northam,1997,rotc - rape prevention program,ses - male - dorm (perpetration),0,-0.9,-0.54,0.21908902300206645,0.048
The Evaluation of a University Based Acquaintance Rape Prevention Program,northam,1997,rotc - rape prevention program,ses - male - dorm (perpetration),91,-0.76,-0.456,0.21908902300206645,0.048
Efficacy of Dating Violence Prevention Program on Attitudes Justifying Aggression,avery-leaf,1997,curriculum,victimization,10,0.01,0,0.14491376746189438,0.021
Efficacy of Dating Violence Prevention Program on Attitudes Justifying Aggression,avery-leaf,1997,curriculum,modified conflict tactics (perpetration),10,0.01,0,0.14491376746189438,0.021
Efficacy of Dating Violence Prevention Program on Attitudes Justifying Aggression,avery-leaf,1997,curriculum,justification of interpersonal violence questionnaire,10,3.44,-0.268,0.14491376746189438,0.021
Effects of an Acquaintance Rape Prevention Program on Male College Students' Endorsements of Rape Myth Beliefs and Sexually Coercive Behaviors,boulter,1997,rape prevention program,rape myth acceptance,49,-5.205,0.417,0.2720294101747089,0.074
Effects of an Acquaintance Rape Prevention Program on Male College Students' Endorsements of Rape Myth Beliefs and Sexually Coercive Behaviors,boulter,1997,rape prevention program,rape myth acceptance,819,-7.02,0.563,0.27386127875258304,0.075
Sexual Harassment and Junior High School Students: The Effect of a Program Designed to Address Peer-to-Peer Sexual Harassment,durand,1997,health class intervention,knowledge of sexual harassment,0,-0.3133,-0.035,0.10954451150103323,0.012
Effects of a Sexual Assault Peer Education Program on Men's Belief in Rape Myths,foubert,1997,prevention program,rape myth acceptance,61,-3,0.283,0.23021728866442676,0.053
Effects of a Sexual Assault Peer Education Program on Men's Belief in Rape Myths,foubert,1997,prevention program,rape myth acceptance,0,12.1,1.142,0.21447610589527216,0.046
"The impact of rape education on rape attributions and attitudes: Comparison of a feminist intervention and a miscommunication model intervention
",mcleod,1997,miscomunication model,rape myth acceptance,28,-0.045,0.13,0.22803508501982758,0.052
"The impact of rape education on rape attributions and attitudes: Comparison of a feminist intervention and a miscommunication model intervention
",mcleod,1997,feminist rape education,rape myth acceptance,28,-0.21,0.605,0.2345207879911715,0.055
Rare Education for Men: A Comparison of Two Interventions,tarrant,1997,standard program,rape myth acceptance,0,-0.06,0.059,0.1673320053068151,0.028
Rare Education for Men: A Comparison of Two Interventions,tarrant,1997,standard program,rape myth acceptance,14,0.01,-0.01,0.161245154965971,0.026
Rare Education for Men: A Comparison of Two Interventions,tarrant,1997,experimental,rape myth acceptance,0,0.15,-0.147,0.1673320053068151,0.028
Rare Education for Men: A Comparison of Two Interventions,tarrant,1997,experimental,rape myth acceptance,14,0.21,-0.206,0.1673320053068151,0.028
An All-Male Rape Prevention Peer Education Program: Decreasing Fraternity Men's Behavioral Intent to Rape,foubert,1998,how to help a sexual assault survivor,rape myth acceptance,0,7.4587,0.466,0.17606816861659008,0.031
Individual differences in the effectiveness of sexual harrassment awareness training,perry,1998,sexual harassment video,nature of sexual touches (perpetration),0,-0.15,0.154,0.3346640106136302,0.112
Individual differences in the effectiveness of sexual harrassment awareness training,perry,1998,sexual harassment video,sexual harrassment knowledge,0,0.37,0.215,0.3361547262794322,0.113
"An acquaintance rape prevention program: Effects on attitudes toward women, rape-related attitudes, and perceptions of rape scenarios",pinzone-glover,1998,acquaintance rape prevention program,rape myth acceptance,7,-3.2886,0.438,0.16431676725154984,0.027
The Effectiveness of Two Types of Rape Prevention Programs in Changing the Rape-Supportive Attitudes of College Students,anderson,1998,structured video,rape myth acceptance,49,0.1,-0.014,0.19493588689617927,0.038
The Effectiveness of Two Types of Rape Prevention Programs in Changing the Rape-Supportive Attitudes of College Students,anderson,1998,mock talk show,rape myth acceptance,49,-1,0.141,0.19235384061671346,0.037
The Effectiveness of Two Types of Rape Prevention Programs in Changing the Rape-Supportive Attitudes of College Students,anderson,1998,mock talk show,rape myth acceptance,0,-2.2,0.31,0.16431676725154984,0.027
The Effectiveness of Two Types of Rape Prevention Programs in Changing the Rape-Supportive Attitudes of College Students,anderson,1998,structured video,rape myth acceptance,0,-2.7,0.38,0.1673320053068151,0.028
The Effectiveness of an Acquaintane Sexual Assault Prevention Program in Changing Attitudes/Beliefs and Behavior intent among College Students,duggan,1998,scream,scale for identification of acquaintance rape attitudes,0,5.17,0.233,0.10488088481701516,0.011
The Effectiveness of an Acquaintane Sexual Assault Prevention Program in Changing Attitudes/Beliefs and Behavior intent among College Students,duggan,1998,scream,scale for identification of acquaintance rape attitudes,61,0.01,0,0.07745966692414834,0.006
Dating Relationships and Sexual Victimization: An Intervention Program with College Freshman Males,echols,1998,the gentleman's agreement,dating attitudes and touching expectations scale,30,-2.07,0.373,0.17029386365926402,0.029
Dating Relationships and Sexual Victimization: An Intervention Program with College Freshman Males,echols,1998,the gentleman's agreement,dating attitudes and touching expectations scale,0,-5.23,0.553,0.10954451150103323,0.012
Antiviolence Education in High Schools,hilton,1998,intervention,date rape attiudes,42,0.044,0.066,0.07071067811865475,0.005
Antiviolence Education in High Schools,hilton,1998,intervention,date rape attiudes,0,-0.13,-0.194,0.07745966692414834,0.006
"Beyond ""No Means No"": Outcomes of an Intensive Program to Train Peer Facilitators for Campus Acquaintance Rape Education",lonsway,1998,campus acquaintance rape education (care),illinois rape myth acceptance scale,0,0.32,0.593,0.18973665961010275,0.036
"Beyond ""No Means No"": Outcomes of an Intensive Program to Train Peer Facilitators for Campus Acquaintance Rape Education",lonsway,1998,campus acquaintance rape education (care),illinois rape myth acceptance scale,730,0.42,0.778,0.21908902300206645,0.048
"Beyond ""No Means No"": Outcomes of an Intensive Program to Train Peer Facilitators for Campus Acquaintance Rape Education",lonsway,1998,human sexuality course + workshop,illinois rape myth acceptance scale,730,0.19,0.358,0.2720294101747089,0.074
Date rape and acquaintance rape attitudes among secondary school students: the influence of a date and acquaintance rape prevention education program,mandelblatt,1998,post,rape myth scale,0,-1.1504,-0.19,0.10488088481701516,0.011
Date rape and acquaintance rape attitudes among secondary school students: the influence of a date and acquaintance rape prevention education program,mandelblatt,1998,post,rape myth scale,30,-0.6664,-0.11,0.10488088481701516,0.011
High School Students' Adherence to Rape Myths adn the Effectiveness of High School Rape-Awareness Programs,proto-campise,1998,rape-awareness program,survey,7,1.736,0.456,0.1,0.01
An outcome evaluation of a school-based curriculum for the primary prevention of dating violence among adolescents,silverman,1998,the teen dating violence prevention and intervention program,myths,0,-0.2887,0.17,0.07745966692414834,0.006
An outcome evaluation of a school-based curriculum for the primary prevention of dating violence among adolescents,silverman,1998,the teen dating violence prevention and intervention program,myths,98,-0.7116,0.404,0.10954451150103323,0.012
Rape Prevention Education for Men: The Effectiveness of Empathy-Induction Techniques,berg,1999,female stimulus,illinois rape myth acceptance scale,14,-0.13,-0.325,0.3286335345030997,0.108
Rape Prevention Education for Men: The Effectiveness of Empathy-Induction Techniques,berg,1999,male stimulus,illinois rape myth acceptance scale,14,-0.36,-0.9,0.34641016151377546,0.12
A Longitudinal Evaluation of the Effectiveness of a Sexual Assault Education Program,breitenbecher,1999,intervention,ses - victimization,213,0,0,0.1341640786499874,0.018
A Longitudinal Evaluation of the Effectiveness of a Sexual Assault Education Program,breitenbecher,1999,intervention,sexual assault knowledge,213,1.74,0.685,0.13784048752090222,0.019
Effectiveness of a Sexual Assault Education and Prevention Program for Victims and Nonvictims of Sexual Abuse,davis,1999,sexual assault education and prevention program,knowledge of sexual assault survey,91,3.6745,1.257,0.12649110640673517,0.016
Acquaintance Rape Prevention: Changing Rape-Supportive Attitudes of College Students,saberi,1999,treatment 1: drama- absence of consent is not consent,rape myth acceptance,0,-1.8423,-0.228,0.21908902300206645,0.048
Acquaintance Rape Prevention: Changing Rape-Supportive Attitudes of College Students,saberi,1999,treatment 2: video presentation of the drama- absense of consent is not consent,rape myth acceptance,0,0.299,0.037,0.21447610589527216,0.046
Acquaintance Rape Prevention: Changing Rape-Supportive Attitudes of College Students,saberi,1999,treatment 3: didactic presentation fashioned in the feminist education mode,rape myth acceptance,0,4.6364,0.575,0.23664319132398465,0.056
"Effects of a Dating Violence Intervention on College Students' Knowledge, Attitudes, and Behavior Intentions",burke,1999,intervention,dating violence knowledge,30,12.07,0.736,0.13784048752090222,0.019
"Effects of a Dating Violence Intervention on College Students' Knowledge, Attitudes, and Behavior Intentions",burke,1999,intervention,dating violence knowledge,0,18.68,1.138,0.14491376746189438,0.021
Examining Immediate and Long-Term Efficacy of Rape Prevention Programming With Racially Diverse College Men,heppner,1999,intervention,rape myth acceptance,7,0,0,0.22360679774997896,0.05
Examining Immediate and Long-Term Efficacy of Rape Prevention Programming With Racially Diverse College Men,heppner,1999,intervention,rape myth acceptance,152,0,0,0.22360679774997896,0.05
Examining Immediate and Long-Term Efficacy of Rape Prevention Programming With Racially Diverse College Men,heppner,1999,intervention,ses (perpetration),7,0,0,0.22360679774997896,0.05
Examining Immediate and Long-Term Efficacy of Rape Prevention Programming With Racially Diverse College Men,heppner,1999,intervention,ses (perpetration),152,0,0,0.22360679774997896,0.05
The Effects of a Dating Violence Program on Adolescent Awareness,boegler-daum,1999,1 session,knowledge,0,-6.004,1.605,0.30331501776206204,0.092
The Effects of a Dating Violence Program on Adolescent Awareness,boegler-daum,1999,6 session,knowledge,0,-6.124,1.637,0.30495901363953815,0.093
Effectiveness of Sexual Assault Interventions: A Behavioral Approach,strategier,1999,sexual communication intervention,rape myth acceptance,42,1.946,0.169,0.12649110640673517,0.016
Effectiveness of Sexual Assault Interventions: A Behavioral Approach,strategier,1999,legal definitions workshop,rape myth acceptance,42,3.1023,0.269,0.130384048104053,0.017
