author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intrevention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red
abrams,1992,information only,rape myth acceptance,0,Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,Paloma,0,lab,-,4,1,3,3,19.2,1,100%,79.60%,US,florida,189,2,1,"This intervention was a 1 hour and 15 minute presentation of information regarding date rape myths, rape trauma syndrome, and strategies for reducing the likelihood of date rape and aggressive interpersonal behavior (Intervention I) . The information was presented in verbal and written form.",1,1,,0,"9,1,3,5",NA,"9,1,3,5",male,19,NA,NA,rct,FALSE,attitudes,-,3,63,61,63,66,8,8,n groups,d,0,0,-,109,NA,0,3.10E-02,0.176,Roni ,JH - can you check the var.d and se.d estimates here? I think they are based on a clustered design which is not the case here,#ffffff
abrams,1992,information only,rape myth acceptance,7,Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,Paloma,0,lab,-,4,1,3,3,19.2,1,100%,79.60%,US,florida,189,2,1,"This intervention was a 1 hour and 15 minute presentation of information regarding date rape myths, rape trauma syndrome, and strategies for reducing the likelihood of date rape and aggressive interpersonal behavior (Intervention I) . The information was presented in verbal and written form.",1,1,,0,"9,1,3,5",NA,"9,1,3,5",male,19,NA,NA,rct,FALSE,attitudes,-,3,63,58,63,58,8,8,n groups,d,0,0,-,109,NA,0,3.10E-02,0.176,Roni ,JH - can you check the var.d and se.d estimates here? I think they are based on a clustered design which is not the case here,#ffffff
abrams,1992,information & video,rape myth acceptance,0,Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,Paloma,0,lab,-,4,1,3,3,19.2,1,100%,79.60%,US,florida,189,2,1,"This intervention involved Intervention I plus (a) the videotaped modeling of assertive (nonaggressive) interpersonal dating behaviors by a male and female, (b) the presenter's positive verbal reinforcement of nonaggressive, anti-rape behaviors (including verbal statements) modelled by the videotaped persons, and (c) the presenter's positive verbal reinforcement of subjects' comments conveying anti-rape behaviors and attitudes (Intervention II) . The subjects comprised the audience. This intervention was also about 1 hour and 15 minutes long.","1,2,4",1,,0,"9,1,3,5",NA,"9,1,3,5",male,19,NA,NA,rct,FALSE,attitudes,-,3,63,61,63,62,8,8,n groups,d,0,0,-,109,NA,0,3.20E-02,0.179,Roni ,JH - can you check the var.d and se.d estimates here? I think they are based on a clustered design which is not the case here,#ffffff
abrams,1992,information & video,rape myth acceptance,7,Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,Paloma,0,lab,-,4,1,3,3,19.2,1,100%,79.60%,US,florida,189,2,1,"This intervention involved Intervention I plus (a) the videotaped modeling of assertive (nonaggressive) interpersonal dating behaviors by a male and female, (b) the presenter's positive verbal reinforcement of nonaggressive, anti-rape behaviors (including verbal statements) modelled by the videotaped persons, and (c) the presenter's positive verbal reinforcement of subjects' comments conveying anti-rape behaviors and attitudes (Intervention II) . The subjects comprised the audience. This intervention was also about 1 hour and 15 minutes long.","1,2,4",1,,0,"9,1,3,5",NA,"9,1,3,5",male,19,NA,NA,rct,FALSE,attitudes,-,3,63,58,63,58,8,8,n groups,d,0,0,-,109,NA,0,3.20E-02,0.179,Roni ,JH - can you check the var.d and se.d estimates here? I think they are based on a clustered design which is not the case here,#ffffff
fonow,1992,live rape-education workshop,rape myth scale,21,Feminist Rape Education: Does It Work?,Arielle,1,field,-,1,1,3,3,20,3,45,86,USA,Ohio,327,1,0.5,25 minute live rape-education workshop depicting fictitious rape scenarios,"2,5",1,25 minutes,0,"1,2,6,9",NA,"1,2,9",both,9,NA,NA,rct,FALSE,attitudes,-,3,194,174,194,153,4.666666667,4.666666667,cluster randomized,d.i.m,0.2,1,no.sd,"8, 9",no sd; randomized on class level n_groups not given 14 total,0.2,0.344,0.587,Roni ,,#ffffff
fonow,1992,video of the workshop,rape myth scale,21,Feminist Rape Education: Does It Work?,Arielle,1,field,-,1,1,3,3,20,3,45,86,USA,Ohio,323,1,0.5,25 minute video of a rape-education workshop,4,1,25 minutes,0,"1,2,6,9",NA,"1,2,9",both,9,NA,NA,rct,FALSE,attitudes,-,3,194,174,194,149,4.666666667,4.666666667,cluster randomized,d.i.m,0.2,1,no.sd,"8, 9",no sd; randomized on class level n_groups not given 14 total,0.2,0.344,0.587,Roni ,,#ffffff
hoehn,1992,feminist,General Attitudes Toward Rape,0,An investigation of the impact of educational programs on attitudes toward rape held by female undergraduate students,Anne,0,lab,-,4,2,3,3,21.6,2,0,58.9,US,-,95,2,1,"Subjects were assigned to ""traditional"" treatment, ""feminist"" treatment, or the control group. Each all-female group attended a 2-hour seminar led by a female facilitator. The seminar included a brief introduction, a video related to the topic, and an unstructured discussion period. In the feminist program, the seminar focused on gender roles and sex-role stereotyping. The film ""Woman and Man"" examined the role of men and women in society as well as the consequences of sexual inequality. The control group learned about substance abuse. The outline with guided questions is included in the appendix.","2,4",1,120 minutes,0,"1,9",NA,"1,9",female,22,NA,NA,rct,FALSE,attitudes,-,3,32,32,31,31,-,-,-,d.i.m,-0.85,1,8.14,37,NA,-0.104,6.10E-02,0.247,Roni ,,#ffffff
hoehn,1992,traditional,General Attitudes Toward Rape,0,An investigation of the impact of educational programs on attitudes toward rape held by female undergraduate students,Anne,0,lab,-,4,2,3,3,21.6,2,0,58.9,US,-,95,2,1,"Subjects were assigned to ""traditional"" treatment, ""feminist"" treatment, or the control group. Each all-female group attended a 2-hour seminar led by a female facilitator. The seminar included a brief introduction, a video related to the topic, and an unstructured discussion period. In the traditional program, the focus was on providing information about the realities of rape and addressing misconceptions. ""TV News Reports on Date Rape"" and ""Waking up to rape"" were used as audio-visual aids and counter commonly held misconceptions about rape. The control group learned about substance abuse. The outline with guided questions is included in the appendix.","2,4",1,120 minutes,0,"1,9",NA,"1,9",female,22,NA,NA,rct,FALSE,attitudes,-,3,32,32,32,32,-,-,-,d.i.m,-4.37,1,8.14,37,NA,-0.537,6.30E-02,0.251,Roni ,,#ffffff
holcomb,1993,mixed-gender date-rape workshop,Date Rape Attiudes Survey,0,An Evaluation of a Mixed-Gender Date Rape Prevention Workshop,Paloma,0,lab,-,1,1,3,3,20.2,3,52.30%,87,US,-,331,1,1,"A mixed-gender date-rape workshop developed in 1989 was presented by the same team of cofacilitators, consisting of a man and a woman. The cofacilitators ex- plained that they were affiliated with the university, then they presented the consent scenario. A cofacilitator in- formed the students that, for the next few minutes, they would be talking about a hypothetical scenario between a man and a woman who were on a first date or were inter- acting on a sexual level for the first time. Students were then told to try to determine when and how consent to have sex takes place. After the scenario, the cofacilitators recommended how men and women could prevent date rape. Each workshop lasted approximately 35 minutes.",2,1,35 minutes,0,"1,9",NA,"1,9",both,25,NA,NA,rct,TRUE,attitudes,-,2,168,168,163,163,9,9,cluster randomized,d.i.m,-16.36,1,-7.87,162,NA,,,,Roni ,,#ffffff
jodine,1993,video,General Attitudes Toward Rape,36,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,45,NA,USA,-,73,1,1,"The videotape ""Campus Rape"" was shown to participants. Components of the film include facts regarding prevalence of the problem on campus, societal factors influencing myths related to rape, the role of alcohol in many cases of sexual assault, communication patterns between men and women that may contribute to the problem, and the necessity of support and treatment for victims of the crime.",4,1,~60 minutes,0,"1,2,3,8",1,"1,2,3,8",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,36,36,-,-,n groups,d.i.d,-0.61,1,7.296026316,68,NA,,,,Roni ,,#ffffff
jodine,1993,video,General Attitudes Toward Rape,70,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,45,NA,USA,-,73,1,1,"The videotape ""Campus Rape"" was shown to participants. Components of the film include facts regarding prevalence of the problem on campus, societal factors influencing myths related to rape, the role of alcohol in many cases of sexual assault, communication patterns between men and women that may contribute to the problem, and the necessity of support and treatment for victims of the crime.",4,1,~60 minutes,0,"1,2,3,8",1,"1,2,3,8",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,36,36,-,-,n groups,d.i.d,0.00E+00,0,7.296026316,68,NA,,,,Roni ,,#ffffff
jodine,1993,role play,General Attitudes Toward Rape,36,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,52,NA,USA,-,69,1,1,"Three dramatic scenarios in which participants took an active part. The three scenarios used for the role plays in this study included all of the recommended components for educational programs about sexual assault on campus. Sex roles and societal and peer pressure, myths and facts about responsibility for sexual aggression, patterns of communication and the necessity of assertiveness, alcohol, and the effects of rape on the victim and the need for support all were designed specifically as part of the role play presentations.",3,1,~60 minutes,0,"1,2,3,7,8",1,"1,2,3,7,8",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,32,32,-,-,n groups,d.i.d,-2.57,1,7.296026316,68,NA,,,,Roni ,,#ffffff
jodine,1993,role play,General Attitudes Toward Rape,70,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,52,NA,USA,-,69,1,1,"Three dramatic scenarios in which participants took an active part. The three scenarios used for the role plays in this study included all of the recommended components for educational programs about sexual assault on campus. Sex roles and societal and peer pressure, myths and facts about responsibility for sexual aggression, patterns of communication and the necessity of assertiveness, alcohol, and the effects of rape on the victim and the need for support all were designed specifically as part of the role play presentations.",3,1,~60 minutes,0,"1,2,3,7,8",1,"1,2,3,7,8",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,32,32,-,-,n groups,d.i.d,1.19,-1,7.296026316,68,NA,,,,Roni ,,#ffffff
jodine,1993,lecture,General Attitudes Toward Rape,36,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,54,NA,USA,-,64,1,1,"Lecture that offered the facts regarding the extent of the problem of sexual assault on college campuses across the country and in the state. Effort was put against perception of the presentation as ""male-bashing."" A detailed definition of sexual assault was given as well as factors that contribute to it on college campuses. Acquaintance rape was described and an overview of available resources and support was given.",1,1,~60 minutes,0,"1,2,3,8,9",1,"1,2,3,8,9",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,27,27,-,-,n groups,d.i.d,-1.9,1,7.296026316,68,NA,,,,Roni ,,#ffffff
jodine,1993,lecture,General Attitudes Toward Rape,70,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,54,NA,USA,-,64,1,1,"Lecture that offered the facts regarding the extent of the problem of sexual assault on college campuses across the country and in the state. Effort was put against perception of the presentation as ""male-bashing."" A detailed definition of sexual assault was given as well as factors that contribute to it on college campuses. Acquaintance rape was described and an overview of available resources and support was given.",1,1,~60 minutes,0,"1,2,3,8,9",1,"1,2,3,8,9",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,27,27,-,-,n groups,d.i.d,-0.85,1,7.296026316,68,NA,,,,Roni ,,#ffffff
nagler,1993,date rape workshop,rape myth acceptance,21,"Effect of an acquaintance rape prevention program on rape attitudes, knowledge, intent and sexual assault reporting",Anne,0,lab,-,4,2,3,3,20,3,59.52380952,70.58823529,US,NY,170,2,1,"The 3-hour workshop run by male and female co-leaders followed ""Parrot's Sexual Assault and Acquaintance Rape Prevention Manual,"" consisting of group activities, discussion, lecture, a film, and a handout to address its objectives. The 5 objectives of the workshop were: 1) understand acquaintance rape, 2) explore feelings about acquaintance rape, 3) explore cultural forces that contribute to acquaintance rape and sexual assault, 4) understand the contribution of inconsistent communication patters, and 5) identify prevention strategies. The workshop was co-ed, with some activities completed in single-sex groups.","2,4,6",1,180 minutes,0,"1,2,5,9",NA,"1,2,5,9",both,19,NA,NA,rct,FALSE,attitudes,-,2,85,62,85,64,-,-,n groups,d.i.m,-1.13,-1,9.48,p.63table4,NA,,,,Roni ,,#ffffff
nagler,1993,date rape workshop,SES - perp,21,"Effect of an acquaintance rape prevention program on rape attitudes, knowledge, intent and sexual assault reporting",Anne,0,lab,-,4,2,3,3,20,3,59.52380952,70.58823529,US,NY,170,2,1,"The 3-hour workshop run by male and female co-leaders followed ""Parrot's Sexual Assault and Acquaintance Rape Prevention Manual,"" consisting of group activities, discussion, lecture, a film, and a handout to address its objectives. The 5 objectives of the workshop were: 1) understand acquaintance rape, 2) explore feelings about acquaintance rape, 3) explore cultural forces that contribute to acquaintance rape and sexual assault, 4) understand the contribution of inconsistent communication patters, and 5) identify prevention strategies. The workshop was co-ed, with some activities completed in single-sex groups.","2,4,6",1,180 minutes,0,"1,2,5,9",NA,"1,2,5,9",both,10,NA,NA,rct,FALSE,behavior,-,2,51,34,51,41,-,-,n groups,difference_in_proportion,0.02582496413,1,0.4556450996,94,NA,,,,need to check again for converting chi square into d - JH,,#ffffff
nagler,1993,date rape workshop,ses,21,"Effect of an acquaintance rape prevention program on rape attitudes, knowledge, intent and sexual assault reporting",Anne,0,lab,-,4,2,3,3,20,3,59.52380952,70.58823529,US,NY,170,2,1,"The 3-hour workshop run by male and female co-leaders followed ""Parrot's Sexual Assault and Acquaintance Rape Prevention Manual,"" consisting of group activities, discussion, lecture, a film, and a handout to address its objectives. The 5 objectives of the workshop were: 1) understand acquaintance rape, 2) explore feelings about acquaintance rape, 3) explore cultural forces that contribute to acquaintance rape and sexual assault, 4) understand the contribution of inconsistent communication patters, and 5) identify prevention strategies. The workshop was co-ed, with some activities completed in single-sex groups.","2,4,6",1,180 minutes,0,"1,2,5,9",NA,"1,2,5,9",both,10,NA,NA,rct,FALSE,behavior,-,2,85,62,85,64,-,-,n groups,difference_in_proportion,-0.01108870968,1,0.4749588798,96,NA,,,,need to check again for converting chi square into d - JH,,#ffffff
heppner b,1995,didactic-video intervention,Rape myth acceptance,0,"The Differential Effects of Rape Prevention Programming on Attitudes, Behavior, and Knowledge",Anne,0,lab,-,1,1,3,3,18.5,5,52.3255814,93,US,-,179,2,0.5,"Students received didactic material concerning information about the prevalence and impact of rape, rape myths, rape statistics, gender socialization, and definitions of rape and campus resources. They also watched ""Campus Rape"" and had a question and answer session.","2,4",1,90 minutes,0,"2,9",NA,"2,9",both,19,NA,NA,rct,FALSE,attitudes,-,3,94,93,79,79,not given,not given,cluster randomized,d.i.d,-2.2325,1,9.032775485,p513table1,NA,-0.24,2.30E-02,0.152,Roni ,,#ffffff
heppner b,1995,interactional drama,Rape myth acceptance,0,"The Differential Effects of Rape Prevention Programming on Attitudes, Behavior, and Knowledge",Anne,0,lab,-,1,1,3,3,18.5,5,44.44444444,93,US,-,173,2,0.5,"Students observed two acts of an improvisational theater performance. After the first, which depicts a date rape, students can ask questions of the facilitators. The students then rewrite the script by giving suggestions about how the actors can change the situation.  Students actively participated in brainstorming and ""rewriting the script.""","3,5",1,90 minutes,0,"2,9",NA,"2,9",both,19,NA,NA,rct,FALSE,attitudes,-,3,94,93,85,81,not given,not given,cluster randomized,d.i.d,-1.11,1,9.032775485,p513table1,NA,-0.119,2.30E-02,0.152,Roni ,,#ffffff
heppner b,1995,interactional drama,Rape myth acceptance,152,"The Differential Effects of Rape Prevention Programming on Attitudes, Behavior, and Knowledge",Anne,0,lab,-,1,1,3,3,18.5,5,44.44444444,93,US,-,173,2,0.5,"Students observed two acts of an improvisational theater performance. After the first, which depicts a date rape, students can ask questions of the facilitators. The students then rewrite the script by giving suggestions about how the actors can change the situation.  Students actively participated in brainstorming and ""rewriting the script.""","3,5",1,90 minutes,0,"2,9",NA,"2,9",both,19,NA,NA,rct,FALSE,attitudes,-,3,94,56,85,44,not given,not given,cluster randomized,d.i.d,0.8858,-1,9.032775485,p513table1,NA,9.50E-02,0.04,0.2,Roni ,,#ffffff
heppner b,1995,didactic-video intervention,Rape myth acceptance,152,"The Differential Effects of Rape Prevention Programming on Attitudes, Behavior, and Knowledge",Anne,0,lab,-,1,1,3,3,18.5,5,52.3255814,93,US,-,179,2,0.5,"Students received didactic material concerning information about the prevalence and impact of rape, rape myths, rape statistics, gender socialization, and definitions of rape and campus resources. They also watched ""Campus Rape"" and had a question and answer session.","2,4",1,90 minutes,0,"2,9",NA,"2,9",both,19,NA,NA,rct,FALSE,attitudes,-,3,94,56,79,36,not given,not given,cluster randomized,d.i.d,-2.801,1,9.032775485,p513table1,NA,-0.301,4.50E-02,0.212,Roni ,,#ffffff
lanier,1995,scruples (+ role play),attitudes towards rape,0,Evaluation of a Date Rape Prevention Program for New Students in a Universtiy Setting,Arielle,1,field,-,4,1,3,3,19,5,48.62,64.6,USA,Texas,615,2,1,attended the play Scruples ,3,1,60 minutes,0,"1,3,4,5,9",NA,"1,3,4,5,9",both,20,NA,NA,rct,FALSE,attitudes,-,2,307.5,248,307.5,188,4,4,n groups,d.i.d,8.16E-02,1,0.4175,70,NA,0.195,9.00E-03,9.50E-02,Roni ,,#ffffff
lanier,1995,scruples (+ role play),behavior,0,Evaluation of a Date Rape Prevention Program for New Students in a Universtiy Setting,Arielle,1,field,-,4,1,3,3,19,5,48.62,64.6,USA,Texas,615,2,1,attended the play Scruples ,3,1,60 minutes,0,"1,3,4,5,9",NA,"1,3,4,5,9",both,7,NA,NA,rct,FALSE,attitudes,-,2,307.5,248,307.5,188,4,4,n groups,d.i.d,-1.02E-02,-1,0.4497,70,NA,-2.30E-02,9.00E-03,9.50E-02,Roni ,,#ffffff
lanier,1995,scruples (+ role play),attitudes towards rape,61,Evaluation of a Date Rape Prevention Program for New Students in a Universtiy Setting,Arielle,1,field,-,4,1,3,3,19,5,48.62,64.6,USA,Texas,615,2,1,attended the play Scruples and participated in an interactive group role-play acitivity,"3,5",1,120 minutes,0,"1,3,4,5,9",NA,"1,3,4,5,9",both,20,NA,NA,rct,FALSE,attitudes,-,2,307.5,77,307.5,72,4,4,n groups,d.i.m,-6.72E-02,1,0.3843,74,note: I use DIM b/c the control groups gets the intervention too later on (pg 10),-0.175,2.80E-02,0.167,Roni ,,#ffffff
lanier,1995,scruples (+ role play),behavior,61,Evaluation of a Date Rape Prevention Program for New Students in a Universtiy Setting,Arielle,1,field,-,4,1,3,3,19,5,48.62,64.6,USA,Texas,615,2,1,attended the play Scruples and participated in an interactive group role-play acitivity,"3,5",1,120 minutes,0,"1,3,4,5,9",NA,"1,3,4,5,9",both,7,NA,NA,rct,FALSE,attitudes,-,2,307.5,77,307.5,72,4,4,n groups,d.i.m,-0.2573,1,0.4497,74,note: I use DIM b/c the control groups gets the intervention too later on (pg 10),-0.572,2.90E-02,0.17,Roni ,,#ffffff
bonate,1996,video,Harassment Sensitivity Inventory,0,The Effects of Educational Intervention on Perceptions of Sexual Harassment,Arielle,0,lab,-,1,2,3,3,20,5,46.875,36,USA,-,63,2,1,scenarios depicting sexual harassment and nonsexual harassment with commentary/narration,4,1,~30 minutes,0,"10,11",NA,"10,11",both,18,NA,NA,rct,FALSE,attitudes,-,3,30,30,33,33,-,-,-,d.i.d,10.4,1,22.9,759table1,NA,0.454,6.40E-02,0.253,Roni ,,#ffffff
bonate,1996,literature,Harassment Sensitivity Inventory,0,The Effects of Educational Intervention on Perceptions of Sexual Harassment,Arielle,0,lab,-,1,2,3,3,20,5,46.875,36,USA,-,63,2,1,"definition, examples, and statistics on sexual harassment",6,1,~30 minutes,0,10.11,NA,"10, 11",both,18,NA,NA,rct,FALSE,attitudes,-,3,30,30,33,33,-,-,-,d.i.d,21.2,1,22.9,759table1,NA,,,,Roni ,,#ffffff
forst,1996,theatre,rape myth acceptance,14,Familiarity with Sexual Assault and its Relationship to the Effectiveness of Acquaintance Rape Prevention Programs,Anne,0,lab,-,1,1,3,3,23.9,5,39,89,US,Florida,54,1,0.5,"Students watched an improvisational theater performance. The first scene portrayed an acquaintance rape, after which students were invited to discuss and state how they would change those behaviors. After the discussion, in scene two the actors incorporated the prevention strategies and suggestions provided by the students.","2,3,5",1,60 minutes,0,"1,9",NA,"1,9",both,19,NA,NA,rct,FALSE,attitudes,-,3,19,19,17,17,-,-,-,d.i.d,-2.514,1,11.05,p.97indissertation,,,,,Roni,stats reported in Forst1993 dissertation,#ffffff
