author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intervention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red,eliminiate,authors department/education in case belongs to center,lead author department/training,alex comments,
nelson,1990,video,forcible date rape scale,7,A Comparison of Strategies for Changing College Students' Attitudes Towards Acquaintance Rape,Matej,0,lab,"""Someone You Know: Acquaintance Rape"" videotape",1,1,3,3,19,3,31,NA,USA,NA,58,2,NA,Participants were asked to watch a 30 minutes long videotape on acquaintance rape.,4,1,,0,2,1,2,both,16,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,25,,33,-,-,-,unspecified null,NA,-1,NA,11,NA,-0.10,0.07,0.27,,"I (SETH) think there are two things we can do with this. One is to combine both treatments into one and use the F test in Table 2, but I""m not totally sure that that's what we're looking for because it's group by pretest/posttest -- is that the relationship between the *difference between pretest-posttest* and group assignment? I""m not sure enough of that to bet on it, and I also see in the text: ""Participants were more rejecting of using coercion to obtain sex. This difference was independent of participants’ group assignment or sex. Thus, the MANOVA did not provide support for the fourth hypothesis (i.e., there was not a significant difference between the three groups’ posttest FDRS scores)."" And that's that as far as I'm concerned",Loading...,,,,,
nelson,1990,brouchure,forcible date rape scale,7,A Comparison of Strategies for Changing College Students' Attitudes Towards Acquaintance Rape,Matej,0,lab,"""What Women and Men Should Know about Date Rape"" brochure
",1,1,3,3,19,3,29,NA,USA,NA,56,2,NA,Participants were asked to read a pamphlet on date rape that took approximately 10 minutes to read.,6,1,,0,2,1,2,both,16,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,25,,31,-,-,-,unspecified null,NA,-1,NA,11,NA,0.53,0.07,0.27,,"""",Loading...,,,,,
pohl,1990,treatment,rape myth acceptance,7,Adolescent sexual abuse: an evaluation of perpetrator and victim prevention program,jh,1,field,NA,4,1,2,2,15,1,1,0.58,USA,NA,281,1,0.5,5-session one hour a day adolescent sexual abuse prevention program adopted from San-Francisco based Children's Self-Help Project,5,5,,0,"1, 9, 11",NA,"1, 9, 11",male,19,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,143.75, ,86.25,3,5,cluster randomized,f.test,8.6100,1,-,66,NA,2.14,0.62,0.79,,,Loading...,,,,,
gilbert,1991,elaboration likelihood model (1 hour presentation),attitude change,0,Changing the Sexual Agressive Suportive Attitudes of Men: A Psychoeducational Intervention,Paloma,0,lab,-,1,1,3,3,20,1,100%,86.70%,USA,-,75,1,0.5,"ELM Psycho-educational intervention. The intervention involved a one hour presentation by a man and a woman. After that they administered some quesionaires. The presenters then returned and encouraged subjects to participate in a discussion of the presentation. After the discussion, the presenters briefly explained the purposes of the study.",1,1,,0,1,0.5,1,male,-,NA,NA,rct,FALSE,attitudes,-,2,37.5,30.5,37.5,30.5,-,-,-,f.test,5.5800,1,9.6600,200,sample does not make clear how many psychology courses they used.,,,,Roni ,,Loading...,,psychology,psychology,,
gilbert,1991,elaboration likelihood model (1 hour presentation),"""how willing to volunteer time"" (deceived to think it's actual commitment)",30,Changing the Sexual Agressive Suportive Attitudes of Men: A Psychoeducational Intervention,Paloma,0,lab,-,1,1,3,3,20,1,100%,86.70%,USA,-,75,1,0.5,"ELM Psycho-educational intervention. The intervention involved a one hour presentation by a man and a woman. After that they administered some quesionaires. The presenters then returned and encouraged subjects to participate in a discussion of the presentation. After the discussion, the presenters briefly explained the purposes of the study.",1,1,,0,1,0.5,1,male,1,NA,NA,rct,FALSE,behavior,-,2,37.5,23,37.5,30,-,-,-,d.i.m,0.0700,1,0.4200,200,NA,-0.17,0.07,0.27,Roni ,,Loading...,,,,,
nichols,1991,didactic group,rape myth acceptance,0,The Impact of two types of rape education programs on college students' attitudes,jh,0,lab,-,4,1,3,3,20.7,3,0.3846153846,95.8,USA,missouri,79,1,1,"college lecture about incidence of rape and sexual aggression, cultural support for sexually aggressive behavior (myths about sexual violence, historical cultural aspects of rape), the effect of stereotyping",1,1,,0,"2, 9",NA,"2, 9",both,19,NA,NA,rct,FALSE,attitudes,-,3,55,50,55,39,-,-,-,d.i.d,-2.1000,1,13.5900,100-101,NA,,,,Roni ,"JH - d, var.d, and se.d needs updating",Loading...,,counseling psychology,counseling psychology,,
nichols,1991,experiential rape education workshop,rape myth acceptance,0,The Impact of two types of rape education programs on college students' attitudes,jh,0,lab,-,4,1,3,3,20.7,3,0.3333333333,95.8,USA,missouri,79,1,1,"structured group format, with brief lectures, a video, handouts, and exercises to illustrate sexual aggression, cultural support for aggressive behaviors, and how rape is a relevant issue for men",2,1,,0,"1, 11",NA,"1, 11",both,19,NA,NA,rct,FALSE,attitudes,-,3,55,50,55,30,-,-,-,d.i.d,-2.8200,1,13.5900,100-101,NA,,,,Roni ,"JH - d, var.d, and se.d needs updating",Loading...,,,,,
nichols,1991,didactic group,rape myth acceptance,14,The Impact of two types of rape education programs on college students' attitudes,jh,0,lab,-,4,1,3,3,20.7,3,0.3846153846,95.8,USA,missouri,79,1,1,"college lecture about incidence of rape and sexual aggression, cultural support for sexually aggressive behavior (myths about sexual violence, historical cultural aspects of rape), the effect of stereotyping",1,1,,0,"2, 9",NA,"2, 9",both,19,NA,NA,rct,FALSE,attitudes,-,3,55,50,55,39,-,-,-,d.i.d,-3.1100,1,13.5900,100-101,NA,,,,Roni ,"JH - d, var.d, and se.d needs updating",Loading...,,,,,
nichols,1991,experiential rape education workshop,"""how willing to volunteer time"" (deceived to think it's actual commitment)",14,The Impact of two types of rape education programs on college students' attitudes,jh,0,lab,-,4,1,3,3,20.7,3,0.3333333333,95.8,USA,missouri,79,1,1,"structured group format, with brief lectures, a video, handouts, and exercises to illustrate sexual aggression, cultural support for aggressive behaviors, and how rape is a relevant issue for men",2,1,,0,"1, 11",NA,"1, 11",both,19,NA,NA,rct,FALSE,attitudes,-,3,55,50,55,30,-,-,-,d.i.d,-2.8800,1,13.5900,100-101,NA,,,,Roni ,"JH - d, var.d, and se.d needs updating",Loading...,,,,,
gibson,1991,date rape workshop,SES - victimization,70,An intervention designed to modify attitudes toward acquaintance rape in college students,jh,1,field,-,4,1,3,3,NA,3,0.3636363636,NA,USA,Northeast United States,2100,2,1,50-minute long presentations presented in groups of 16-20 students with both didactic and discussion components with the aim of confronting misinformation regarding beliefs and attitudes about rape,43500,0,,0,"1, 9",NA,"1, 9",female,4,NA,TRUE,quasi-experimental,FALSE,behavior,-,3,,100,,40,24,not given,n groups,d_i_p,-0.0175,1,0.3756,32,NA,-0.07,0.04,0.19,,"SETH: should we redo this to take each individual outcome, or do we average them, or what? ",Loading...,,,,,
gibson,1991,date rape workshop,SES - victimization,70,An intervention designed to modify attitudes toward acquaintance rape in college students,jh,1,field,-,4,1,3,3,NA,3,0.3636363636,NA,USA,Northeast United States,2100,2,1,50-minute long presentations presented in groups of 16-20 students with both didactic and discussion components with the aim of confronting misinformation regarding beliefs and attitudes about rape,43500,0,,0,"1, 9",NA,"1, 9",both,4,NA,NA,quasi-experimental,FALSE,behavior,-,3,,159,,61,24,not given,n groups,d_i_p,-0.0185,1,0.3558,32,NA,-0.09,0.02,0.15,,,Loading...,,,,,
gibson,1991,date rape workshop,SES - perpetration,70,An intervention designed to modify attitudes toward acquaintance rape in college students,jh,1,field,-,4,1,3,3,NA,3,0.3636363636,NA,USA,Northeast United States,2100,2,1,50-minute long presentations presented in groups of 16-20 students with both didactic and discussion components with the aim of confronting misinformation regarding beliefs and attitudes about rape,43500,0,,0,"1, 9",NA,"1, 9",male,4,NA,TRUE,quasi-experimental,FALSE,behavior,-,3,,59,,21,24,not given,n groups,d_i_p,0.0150,-1,0.3363,32,NA,0.07,0.06,0.25,,"SETH: Was this marked as quasi-experimental because ""assignment was alphabetical""? ",Loading...,,,,,
gibson,1991,date rape workshop,SES - perpetration,70,An intervention designed to modify attitudes toward acquaintance rape in college students,jh,1,field,-,4,1,3,3,NA,3,0.3636363636,NA,USA,Northeast United States,2100,2,1,50-minute long presentations presented in groups of 16-20 students with both didactic and discussion components with the aim of confronting misinformation regarding beliefs and attitudes about rape,43500,0,,0,"1, 9",NA,"1, 9",both,4,NA,NA,quasi-experimental,FALSE,behavior,-,3,,159,,61,24,not given,n groups,d_i_p,0.0381,-1,0.2331,32,NA,0.30,0.02,0.15,,,Loading...,,,,,
gibson,1991,date rape workshop,illinois rape myth acceptance scale,70,An intervention designed to modify attitudes toward acquaintance rape in college students,jh,1,field,-,4,1,3,3,NA,3,0.3636363636,NA,USA,Northeast United States,2100,2,1,50-minute long presentations presented in groups of 16-20 students with both didactic and discussion components with the aim of confronting misinformation regarding beliefs and attitudes about rape,43500,0,,0,"1, 9",NA,"1, 9",both,14,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,159,,61,24,not given,n groups,d.i.m,1.0800,1,6.6900,35,NA,0.16,0.02,0.15,,,Loading...,,,,,
harrison,1991,video + discussion,perceptions of factual information,0,Date and acquaintance rape: Perceptions and attitude-change strategies,jh,1,field,-,1,1,3,3,19.5,3,0.4193548387,NA,USA,ca,57,2,0,videotape on issues of date and acquaintance rape and participating in a facilitated instructional session,2,0,,0,1,NA,1,both,8,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,19,,38,2,1,cluster randomized,d.i.m,-1.5700,1,4.6600,8,NA,-0.34,0.08,0.28,,,Loading...,,,,,
harrison,1991,video,perceptions of factual information,0,Date and acquaintance rape: Perceptions and attitude-change strategies,jh,1,field,-,1,1,3,3,19.5,3,0.4193548387,NA,USA,ca,48,2,0,videotape on issues of date and acquaintance rape,4,0,,0,1,NA,1,both,8,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,19,,29,2,1,cluster randomized,d.i.m,-0.8740,1,4.6600,8,NA,-0.19,0.09,0.29,,,Loading...,,,,,
ostrowski,1991,empathy & education,victim factor,0,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,Anne,1,field,NA,4,1,3,3,19.39,1,46.2,97.1,USA,South Dakota,183,2,0,"Students watched a professionally recorded videotape, ""It Still Hurts,"" processed the tape, and discussed it. The video contains an example of a courtship sexual assault, the consequence of the assault, and preventative measures. Training materials consisting of educational information regarding sexual assault during courtship, including incidence figures, risk factors, strategies to avoid such risks, and methods to more effectively communicate relationship issues to prevent such behaviors from occuring were implemented by residence assistants.","1,2,4",1,,0,"1,2",NA,"1,2",both,5,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,67,,116,4,5,n groups,d.i.d,0.0630,-1,0.8804,93,NA,0.07,0.02,0.15,,,Loading...,,,,,
ostrowski,1991,empathy,victim factor,0,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,Anne,1,field,NA,4,1,3,3,19.39,1,46.2,97.1,USA,South Dakota,169,2,0,"Students watched a professionally recorded videotape, ""It Still Hurts,"" processed the tape, and discussed it. The video contains an example of a courtship sexual assault, the consequence of the assault, and preventative measures.","1,2,4",1,,0,"1,2",NA,"1,2",both,5,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,67,,104,8,5,n groups,d.i.d,-0.1801,1,0.8804,93,NA,-0.20,0.02,0.16,,,Loading...,,,,,
ostrowski,1991,education,victim factor,0,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,Anne,1,field,NA,4,1,3,3,19.39,1,46.2,97.1,USA,South Dakota,163,2,0,"Training materials consisting of educational information regarding sexual assault during courtship, including incidence figures, risk factors, strategies to avoid such risks, and methods to more effectively communicate relationship issues to prevent such behaviors from occuring were implemented by residence assistants.",1,1,,0,"1,2",NA,"1,2",both,5,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,67,,96,5,5,n groups,d.i.d,-0.0970,-1,0.8804,93,NA,-0.11,0.03,0.16,,,Loading...,,,,,
feltey,1991,date rape prevention lecture,blame,42,Sexual Coercion Attitudes among High School Students: The Influence of Gender and Rape Education,Matej,1,field,Date Rape Prevention (DRP),1,1,2,2,16.5,3,35,71,USA,NA,378,4,NA,"Students attended a 45-minute lecture by local YWCA Rape Crisis program. The lecture focused on gender role socialization, dating and sexual behavior to stress that rape is a logical extension of current sex role socialization practices.",1,1,,0,"1,2,3,9",1,"1,2,3,9",both,5,NA,NA,pre-post,FALSE,attitudes,-,1,,378,,118,-,-,-,d.i.m,0.3300,1,1.0300,16,NA,0.32,0.01,0.11,,,Loading...,,,,,
abrams,1992,information only,rape myth acceptance,0,Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,Paloma,0,lab,-,4,1,3,3,19.2,1,100%,79.60%,USA,florida,189,2,1,"This intervention was a 1 hour and 15 minute presentation of information regarding date rape myths, rape trauma syndrome, and strategies for reducing the likelihood of date rape and aggressive interpersonal behavior (Intervention I) . The information was presented in verbal and written form.",1,1,,0,"9,1,3,5",NA,"9,1,3,5",male,19,NA,NA,rct,FALSE,attitudes,-,3,63,61,63,66,8,8,n groups,d,0.0000,0,-,109,NA,0.00,0.03,0.18,Roni ,JH - can you check the var.d and se.d estimates here? I think they are based on a clustered design which is not the case here,Loading...,,counseling psychology,counseling psychology,,
abrams,1992,information only,rape myth acceptance,7,Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,Paloma,0,lab,-,4,1,3,3,19.2,1,100%,79.60%,USA,florida,189,2,1,"This intervention was a 1 hour and 15 minute presentation of information regarding date rape myths, rape trauma syndrome, and strategies for reducing the likelihood of date rape and aggressive interpersonal behavior (Intervention I) . The information was presented in verbal and written form.",1,1,,0,"9,1,3,5",NA,"9,1,3,5",male,19,NA,NA,rct,FALSE,attitudes,-,3,63,58,63,58,8,8,n groups,d,0.0000,0,-,109,NA,0.00,0.03,0.18,Roni ,JH - can you check the var.d and se.d estimates here? I think they are based on a clustered design which is not the case here,Loading...,,,,,
abrams,1992,information & video,rape myth acceptance,0,Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,Paloma,0,lab,-,4,1,3,3,19.2,1,100%,79.60%,USA,florida,189,2,1,"This intervention involved Intervention I plus (a) the videotaped modeling of assertive (nonaggressive) interpersonal dating behaviors by a male and female, (b) the presenter's positive verbal reinforcement of nonaggressive, anti-rape behaviors (including verbal statements) modelled by the videotaped persons, and (c) the presenter's positive verbal reinforcement of subjects' comments conveying anti-rape behaviors and attitudes (Intervention II) . The subjects comprised the audience. This intervention was also about 1 hour and 15 minutes long.","1,2,4",1,,0,"9,1,3,5",NA,"9,1,3,5",male,19,NA,NA,rct,FALSE,attitudes,-,3,63,61,63,62,8,8,n groups,d,0.0000,0,-,109,NA,0.00,0.03,0.18,Roni ,JH - can you check the var.d and se.d estimates here? I think they are based on a clustered design which is not the case here,Loading...,,,,,
abrams,1992,information & video,rape myth acceptance,7,Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,Paloma,0,lab,-,4,1,3,3,19.2,1,100%,79.60%,USA,florida,189,2,1,"This intervention involved Intervention I plus (a) the videotaped modeling of assertive (nonaggressive) interpersonal dating behaviors by a male and female, (b) the presenter's positive verbal reinforcement of nonaggressive, anti-rape behaviors (including verbal statements) modelled by the videotaped persons, and (c) the presenter's positive verbal reinforcement of subjects' comments conveying anti-rape behaviors and attitudes (Intervention II) . The subjects comprised the audience. This intervention was also about 1 hour and 15 minutes long.","1,2,4",1,,0,"9,1,3,5",NA,"9,1,3,5",male,19,NA,NA,rct,FALSE,attitudes,-,3,63,58,63,58,8,8,n groups,d,0.0000,0,-,109,NA,0.00,0.03,0.18,Roni ,JH - can you check the var.d and se.d estimates here? I think they are based on a clustered design which is not the case here,Loading...,,,,,
fonow,1992,live rape-education workshop,rape myth scale,21,Feminist Rape Education: Does It Work?,Arielle,1,field,-,1,1,3,3,20,3,45,86,USA,Ohio,327,1,0.5,25 minute live rape-education workshop depicting fictitious rape scenarios,"2,5",1,25 minutes,0,"1,2,6,9",NA,"1,2,9",both,9,NA,NA,rct,FALSE,attitudes,-,3,194,174,194,153,4.666666667,4.666666667,cluster randomized,d.i.m,0.2000,1,NA,"8, 9",no sd; randomized on class level n_groups not given 14 total,0.20,0.34,0.59,Roni ,,Loading...,1,,,,
fonow,1992,video of the workshop,rape myth scale,21,Feminist Rape Education: Does It Work?,Arielle,1,field,-,1,1,3,3,20,3,45,86,USA,Ohio,323,1,0.5,25 minute video of a rape-education workshop,4,1,25 minutes,0,"1,2,6,9",NA,"1,2,9",both,9,NA,NA,rct,FALSE,attitudes,-,3,194,174,194,149,4.666666667,4.666666667,cluster randomized,d.i.m,0.2000,1,NA,"8, 9",no sd; randomized on class level n_groups not given 14 total,0.20,0.34,0.59,Roni ,,Loading...,1,,,,
hoehn,1992,feminist,General Attitudes Toward Rape,0,An investigation of the impact of educational programs on attitudes toward rape held by female undergraduate students,Anne,0,lab,-,4,2,3,3,21.6,2,0,58.9,USA,-,95,2,1,"Subjects were assigned to ""traditional"" treatment, ""feminist"" treatment, or the control group. Each all-female group attended a 2-hour seminar led by a female facilitator. The seminar included a brief introduction, a video related to the topic, and an unstructured discussion period. In the feminist program, the seminar focused on gender roles and sex-role stereotyping. The film ""Woman and Man"" examined the role of men and women in society as well as the consequences of sexual inequality. The control group learned about substance abuse. The outline with guided questions is included in the appendix.","2,4",1,120 minutes,0,"1,9",NA,"1,9",female,22,NA,NA,rct,FALSE,attitudes,-,3,32,32,31,31,-,-,-,d.i.m,-0.8500,1,8.1400,37,NA,-0.10,0.06,0.25,Roni ,,Loading...,,psychology,psychology,,
hoehn,1992,traditional,General Attitudes Toward Rape,0,An investigation of the impact of educational programs on attitudes toward rape held by female undergraduate students,Anne,0,lab,-,4,2,3,3,21.6,2,0,58.9,USA,-,95,2,1,"Subjects were assigned to ""traditional"" treatment, ""feminist"" treatment, or the control group. Each all-female group attended a 2-hour seminar led by a female facilitator. The seminar included a brief introduction, a video related to the topic, and an unstructured discussion period. In the traditional program, the focus was on providing information about the realities of rape and addressing misconceptions. ""TV News Reports on Date Rape"" and ""Waking up to rape"" were used as audio-visual aids and counter commonly held misconceptions about rape. The control group learned about substance abuse. The outline with guided questions is included in the appendix.","2,4",1,120 minutes,0,"1,9",NA,"1,9",female,22,NA,NA,rct,FALSE,attitudes,-,3,32,32,32,32,-,-,-,d.i.m,-4.3700,1,8.1400,37,NA,-0.54,0.06,0.25,Roni ,,Loading...,,,,,
lenihan,1992,date rape presentation,rape myth acceptance,30,Gender Differences in Rape Supportive Attitudes Before and After a Date Rape Education Intervention,jh,1,field,-,1,1,3,3,18.8,3,0.3812423873,NA,USA,midwest,821,1,0.5,"lectures and video about date rape situations, and sharing a date rape experience by one of the presenters","""1, 4, 9""",0,,0,"2, 11",NA,"2, 11",both,11,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,410.5,,410.5,7.5,7.5,cluster randomized,f.test,116.8700,1,-,7,NA,0.76,0.01,0.07,,,Loading...,,,,,
holcomb,1993,mixed-gender date-rape workshop,Date Rape Attiudes Survey,0,An Evaluation of a Mixed-Gender Date Rape Prevention Workshop,Paloma,0,lab,-,1,1,3,3,20.2,3,52.30%,87,USA,-,331,1,1,"A mixed-gender date-rape workshop developed in 1989 was presented by the same team of cofacilitators, consisting of a man and a woman. The cofacilitators ex- plained that they were affiliated with the university, then they presented the consent scenario. A cofacilitator in- formed the students that, for the next few minutes, they would be talking about a hypothetical scenario between a man and a woman who were on a first date or were inter- acting on a sexual level for the first time. Students were then told to try to determine when and how consent to have sex takes place. After the scenario, the cofacilitators recommended how men and women could prevent date rape. Each workshop lasted approximately 35 minutes.",2,1,35 minutes,0,"1,9",NA,"1,9",both,25,NA,NA,rct,TRUE,attitudes,-,2,168,168,163,163,9,9,cluster randomized,d.i.m,16.3600,1,15.6100,162,NA,,,,Roni ,"I (Seth) redid the stats because there was no ctrl_sd; but there's a whole population SD so that's close enough, and the d_i_m can be calculated from the table. The F test is way off what the means and SD suggest but whatevs",Loading...,,public health; health education,public health,,
