author,year,coder,intervention name,title,publication type,origin,program name,number of participant,mean age,participant sex,% of male,stage in life,setting,% dominant racial or ethnic group,country,state,lab or field,type of control,intrevention description,brief description of the intervention,delivery of treatment,intervention length,additional contact,states purpose of the intervention,_file,stated purpose of the intervention,number of participants,intervention description,states purpose of the intervention...26,stated_purpose
Feltey,1991,Matej,Date Rape Prevention lecture,Sexual Coercion Attitudes among High School Students: The Influence of Gender and Rape Education,1,1,Date Rape Prevention (DRP),NA,16.5,3,35,2,2,71,USA,NA,1,4,NA,"Students attended a 45-minute lecture by local YWCA Rape Crisis program. The lecture focused on gender role socialization, dating and sexual behavior to stress that rape is a logical extension of current sex role socialization practices.",1,1,0,NA,3,"1,2,3,9",378,1,NA,"1,2,3,9"
Gilbert,1991,Paloma,ELM-based intervention,Changing the Sexual Agressive Suportive Attitudes of Men: A Psychoeducational Intervention,1,1,ELM,61,NA,1,100%,3,3,86.70%,US,NA,1,1,0.5,"ELM Psycho-educational intervention. The intervention involved a one hour presentation by a man and a woman. After that they administered some quesionaires. The presenters then returned and encouraged subjects to participate in a discussion of the presentation. After the discussion, the presenters briefly explained the purposes of the study.","1,2",1,1,NA,7,NA,NA,NA,1,1
Gilbert,1991,Paloma,ELM-based intervention and follow up,Changing the Sexual Agressive Suportive Attitudes of Men: A Psychoeducational Intervention,1,1,ELM,53,NA,1,100%,3,3,86.70%,US,NA,1,1,0.5,"ELM Psycho-educational intervention. The intervention involved a one hour presentation by a man and a woman. After that they administered some quesionaires. The presenters then returned and encouraged subjects to participate in a discussion of the presentation. After the discussion, the presenters briefly explained the purposes of the study. 
Approximately one month after the posttest phase, experimenters attempted to contact subjects by telephone. Posing as a member of a newly form ed student group, an experimenter read a telephone script describing a women's safety project, for which the subject was asked to volunteer time. At the end of the call, subjects were fully debriefed.","1,2",2,1,NA,7,NA,NA,NA,1,1
Ostrowski,1991,Anne,Empathy,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,4,1,NA,421,19.39,1,46.2,3,3,97.1,US,South Dakota,1,2,0,"Students watched a professionally recorded videotape, ""It Still Hurts,"" processed the tape, and discussed it. The video contains an example of a courtship sexual assault, the consequence of the assault, and preventative measures.","1,2,4",1,0,NA,4,"1,2",NA,NA,NA,"1,2"
Ostrowski,1991,Anne,Empathy,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,4,1,NA,421,19.39,2,46.2,3,3,97.1,US,South Dakota,1,2,0,"Students watched a professionally recorded videotape, ""It Still Hurts,"" processed the tape, and discussed it. The video contains an example of a courtship sexual assault, the consequence of the assault, and preventative measures.","1,2,4",1,0,NA,4,"1,2",NA,NA,NA,"1,2"
Ostrowski,1991,Anne,Empathy,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,4,1,NA,421,19.39,3,46.2,3,3,97.1,US,South Dakota,1,2,0,"Students watched a professionally recorded videotape, ""It Still Hurts,"" processed the tape, and discussed it. The video contains an example of a courtship sexual assault, the consequence of the assault, and preventative measures.","1,2,4",1,0,NA,4,"1,2",NA,NA,NA,"1,2"
Ostrowski,1991,Anne,Education,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,4,1,NA,421,19.39,1,46.2,3,3,97.1,US,South Dakota,1,2,0,"Training materials consisting of educational information regarding sexual assault during courtship, including incidence figures, risk factors, strategies to avoid such risks, and methods to more effectively communicate relationship issues to prevent such behaviors from occuring were implemented by residence assistants.",1,1,0,NA,4,"1,2",NA,NA,NA,"1,2"
Ostrowski,1991,Anne,Education,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,4,1,NA,421,19.39,2,46.2,3,3,97.1,US,South Dakota,1,2,0,"Training materials consisting of educational information regarding sexual assault during courtship, including incidence figures, risk factors, strategies to avoid such risks, and methods to more effectively communicate relationship issues to prevent such behaviors from occuring were implemented by residence assistants.",1,1,0,NA,4,"1,2",NA,NA,NA,"1,2"
Ostrowski,1991,Anne,Education,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,4,1,NA,421,19.39,3,46.2,3,3,97.1,US,South Dakota,1,2,0,"Training materials consisting of educational information regarding sexual assault during courtship, including incidence figures, risk factors, strategies to avoid such risks, and methods to more effectively communicate relationship issues to prevent such behaviors from occuring were implemented by residence assistants.",1,1,0,NA,4,"1,2",NA,NA,NA,"1,2"
Ostrowski,1991,Anne,Empathy & education,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,4,1,NA,421,19.39,1,46.2,3,3,97.1,US,South Dakota,1,2,0,"Students watched a professionally recorded videotape, ""It Still Hurts,"" processed the tape, and discussed it. The video contains an example of a courtship sexual assault, the consequence of the assault, and preventative measures. Training materials consisting of educational information regarding sexual assault during courtship, including incidence figures, risk factors, strategies to avoid such risks, and methods to more effectively communicate relationship issues to prevent such behaviors from occuring were implemented by residence assistants.","1,2,4",1,0,NA,4,"1,2",NA,NA,NA,"1,2"
Ostrowski,1991,Anne,Empathy & education,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,4,1,NA,421,19.39,2,46.2,3,3,97.1,US,South Dakota,1,2,0,"Students watched a professionally recorded videotape, ""It Still Hurts,"" processed the tape, and discussed it. The video contains an example of a courtship sexual assault, the consequence of the assault, and preventative measures. Training materials consisting of educational information regarding sexual assault during courtship, including incidence figures, risk factors, strategies to avoid such risks, and methods to more effectively communicate relationship issues to prevent such behaviors from occuring were implemented by residence assistants.","1,2,4",1,0,NA,4,"1,2",NA,NA,NA,"1,2"
Ostrowski,1991,Anne,Empathy & education,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,4,1,NA,421,19.39,3,46.2,3,3,97.1,US,South Dakota,1,2,0,"Students watched a professionally recorded videotape, ""It Still Hurts,"" processed the tape, and discussed it. The video contains an example of a courtship sexual assault, the consequence of the assault, and preventative measures. Training materials consisting of educational information regarding sexual assault during courtship, including incidence figures, risk factors, strategies to avoid such risks, and methods to more effectively communicate relationship issues to prevent such behaviors from occuring were implemented by residence assistants.","1,2,4",1,0,NA,4,"1,2",NA,NA,NA,"1,2"
Abrams,1992,Paloma,Information Only,Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,4,1,NA,127,19.2,1,100%,3,3,79.60%,US,NA,0,2,1,"This intervention was a 1 hour and 15 minute presentation of information regarding date rape myths, rape trauma syndrome, and strategies for reducing the likelihood of date rape and aggressive interpersonal behavior (Intervention I) . The information was presented in verbal and written form.",1,1,0,NA,7,NA,NA,NA,"9,1,3,5","9,1,3,5"
Abrams,1992,Paloma,Information plus modeling and reinforcement of rape preventive behaviors and attitudes,Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,4,1,NA,123,19.2,1,100%,3,3,79.60%,US,NA,0,2,1,"This intervention involved Intervention I plus (a) the videotaped modeling of assertive (nonaggressive) interpersonal dating behaviors by a male and female, (b) the presenter's positive verbal reinforcement of nonaggressive, anti-rape behaviors (including verbal statements) modelled by the videotaped persons, and (c) the presenter's positive verbal reinforcement of subjects' comments conveying anti-rape behaviors and attitudes (Intervention II) . The subjects comprised the audience. This intervention was also about 1 hour and 15 minutes long.","1,2,4",1,0,NA,7,NA,NA,NA,"9,1,3,5","9,1,3,5"
Fonow,1992,Arielle,live rape-education workshop,Feminist Rape Education: Does It Work?,1,1,NA,327,NA,5,45,3,3,86,USA,Ohio,1,1,0.5,25 minute live rape-education workshop depicting fictitious rape scenarios,"2,5",1,0,"1,2,6,9",5,NA,NA,NA,NA,"1,2,6,9"
Fonow,1992,Arielle,video of the workshop,Feminist Rape Education: Does It Work?,1,1,NA,323,NA,5,45,3,3,86,USA,Ohio,1,1,0.5,25 minute video of a rape-education workshop,"4,5",1,0,"1,2,6,9",5,NA,NA,NA,NA,"1,2,6,9"
Hoehn,1992,Anne,Traditional,An investigation of the impact of educational programs on attitudes toward rape held by female undergraduate students,4,2,NA,95,21.6,2,0,NA,3,3,US,NA,0,2,1,"Subjects were assigned to ""traditional"" treatment, ""feminist"" treatment, or the control group. Each all-female group attended a 2-hour seminar led by a female facilitator. The seminar included a brief introduction, a video related to the topic, and an unstructured discussion period. In the traditional program, the focus was on providing information about the realities of rape and addressing misconceptions. ""TV News Reports on Date Rape"" and ""Waking up to rape"" were used as audio-visual aids and counter commonly held misconceptions about rape. The control group learned about substance abuse. The outline with guided questions is included in the appendix.","2,4",1,0,NA,4,"1,9",NA,NA,NA,"1,9"
Hoehn,1992,Anne,Feminist,An investigation of the impact of educational programs on attitudes toward rape held by female undergraduate students,4,2,NA,95,21.6,2,0,3,3,58.9,US,NA,0,2,1,"Subjects were assigned to ""traditional"" treatment, ""feminist"" treatment, or the control group. Each all-female group attended a 2-hour seminar led by a female facilitator. The seminar included a brief introduction, a video related to the topic, and an unstructured discussion period. In the feminist program, the seminar focused on gender roles and sex-role stereotyping. The film ""Woman and Man"" examined the role of men and women in society as well as the consequences of sexual inequality. The control group learned about substance abuse. The outline with guided questions is included in the appendix.","2,4",1,0,NA,4,"1,9",NA,NA,NA,"1,9"
Forst,1993,Matej,Didactic Rape Prevention Program,The Effects of Two Acquaintance Rape Prevention Education Programs on Rape-Supportive Beliefs Among College Students,4,1,NA,NA,23.9,5,39,3,3,89,USA,Florida,0,1,NA,"Students attended a lecture by female university officer anda  representative of the county sexual assault project. The lecture focused on definitions, legal issues, rape myths, sexual behavior and communication. Participants also a video called Campus Rape and participated in a Q&A session.","1,2,4",1,0,NA,3,"1,2,3,7",35,1,NA,"1,2,3,7"
Forst,1993,Matej,Experiential Rape Prevention Program,The Effects of Two Acquaintance Rape Prevention Education Programs on Rape-Supportive Beliefs Among College Students,4,1,NA,NA,23.9,5,39,3,3,89,USA,Florida,0,1,NA,"Students were given a brief overview of rape and acquaintance rape by a detective from the local police department, representative of the county sexual assault project and student services representative from the Florida Atlantic University. Topics covered included definitions, legal issues, prevalence, communication, atttitudes, social factors, and rape and the college community. After discussion with the students, an improvization theater workshop began. The script, acted out by two students (male and female) who rehearsed ahead of time was carried out in two acts. Act I portrayed the risks of miscommunication and acquaintance rape with a follow-up discussion that drew the viewers in. Act II again focused on acquaintance rape, but this time presenting prevention strategies, some of which were suggested by the audience.","1,2,3",1,0,NA,3,"1,2,3,7,8",36,1,NA,"1,2,3,7,8"
Hanson,1993,Manna,sexual assault prevention program,Evaluation of a Sexual Assault Prevention Program,1,1,NA,360,26.78,2,0,3,3,94,USA,Ohio,lab,2,1,"The specific content of the program was as follows: Initially, subjects were provided with statistics about the pervasiveness of sexual assault on college campuses. After the presentation of this information, subjects were given the Rape Myths and Facts Worksheet and allotted time to complete it. Afte that, subjects viewed a video depicting events leading up to an acquaintance rape that occurs during a college party. Following, the presenter asked a series of questions about possible protective measures that might have been helpful in avoiding the depicted acquaintance rape. After a discussion, subjects viewed a second video (with the same characters as the first) that modeled possible protective behaviors. Following a discussion of these protective behaviors, subjects were given the Preventive Strategies Information Sheet. Before concluding the session, the presenter entertained questions about information presented in the pro- gram and about sexual assault in general. On completion of the study, subjects were given the names of local agencies that could provide addi- tional information about sexual assault and could give assistance if needed.","1,2,4,6",9,0,"2,9",1,NA,NA,NA,NA,"2,9"
Holcomb,1993,Paloma,Date-rape workshop,An Evaluation of a Mixed-Gender Date Rape Prevention Workshop,1,1,NA,331,20.2,3,52.30%,3,3,0.870090634,US,NA,0,1,1,"A mixed-gender date-rape workshop developed in 1989 was presented by the same team of cofacilitators, consisting of a man and a woman. The cofacilitators ex- plained that they were affiliated with the university, then they presented the consent scenario. A cofacilitator in- formed the students that, for the next few minutes, they would be talking about a hypothetical scenario between a man and a woman who were on a first date or were inter- acting on a sexual level for the first time. Students were then told to try to determine when and how consent to have sex takes place. After the scenario, the cofacilitators recommended how men and women could prevent date rape. Each workshop lasted approximately 35 minutes.",2,1,0,NA,7,NA,NA,NA,"1,9","1,9"
Jensen,1993,Anne,Treatment and control,College Students' Attitudes Toward Acquaintance Rape: The Effects of a Prevention Intervention Using Cognitive Dissonance Theory,4,1,NA,521,NA,3,58,3,3,NA,US,Mississippi,0,2,0.5,"Students heard an introductory presentation on data about stranger and acquaintance rape, then watched a film called ""Campus Rape"" followed by a discussion on rape myths and facts. A handout with rape myths and facts was given to every student.","1,4,6",1,0,NA,4,1,NA,NA,NA,1
Jodine,1993,Matej,Lecture-style programs,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,4,1,NA,NA,NA,3,54,3,3,NA,USA,NA,0,1,NA,"Lecture that offered the facts regarding the extent of the problem of sexual assault on college campuses across the country and in the state. Effort was put against perception of the presentation as ""male-bashing."" A detailed definition of sexual assault was given as well as factors that contribute to it on college campuses. Acquaintance rape was described and an overview of available resources and support was given.",1,1,0,NA,3,"1,2,3,7",64,1,NA,"1,2,3,7"
Jodine,1993,Matej,Videotape Programs,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,4,1,NA,NA,NA,3,45,3,3,NA,USA,NA,0,1,NA,"The videotape ""Campus Rape"" was shown to participants. Components of the film include facts regarding prevalence of the problem on campus, societal factors influencing myths related to rape, the role of alcohol in many cases of sexual assault, communication patterns between men and women that may contribute to the problem, and the necessity of support and treatment for victims of the crime.",4,1,0,NA,3,"1,2,3,7,8",73,1,NA,"1,2,3,7,8"
Jodine,1993,Matej,Role Play Programs,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,4,1,NA,NA,NA,3,52,3,3,NA,USA,NA,0,1,NA,"Three dramatic scenarios in which participants took an active part. The three scenarios used for the role plays in this study included all of the recommended components for educational programs about sexual assault on campus. Sex roles and societal and peer pressure, myths and facts about responsibility for sexual aggression, patterns of communication and the necessity of assertiveness, alcohol, and the effects of rape on the victim and the need for support all were designed specifically as part of the role play presentations.",3,1,0,NA,3,"1,2,3,7,8",69,1,NA,"1,2,3,7,8"
Kline,1993,Anne,Same-sex,The effects of a structured-group Rape Prevention Program on selected male personality correlates of abuse toward women,4,2,NA,85,NA,4,45.88235294,3,3,NA,US,PA,0,1,1,The program was taught as a class over 12 weeks (there were 11 2-hour blocks) during the fall semester. There were 2 all-female groups and 1 all-male group as well as 2 control groups. All 11 sessions began with a didactic component consisting of a brief lecture or film followed by a structured group exercise. The topics of the sessions dealt with issues in male psychology: 1) meaning of masculinity 2) men's difficulty expressing feelings 3) friendship between men 4) relationship with fathers 5) issues in handling anger appropriately 6) male and female sex-role stereotypes 7) society's definition of masculinity 8) negative consequences of men's stereotypes 9) exploration of how members of the opposite sex can be hurtful to each other 10) date-rape dynamics and 11) male liberation from stereotypes of masculinity. Lectures are included in the appendices.,"1,2",11,0,NA,4,1,NA,NA,NA,1
Kline,1993,Anne,Coed,The effects of a structured-group Rape Prevention Program on selected male personality correlates of abuse toward women,4,2,NA,95,NA,3,51.57894737,3,3,NA,US,PA,0,1,1,The program was taught as a class over 12 weeks (there were 11 2-hour blocks) during the fall semester. There were 3 coed groups as well as 2 control groups. The topics of the sessions dealt with issues in male psychology: 1) meaning of masculinity 2) men's difficulty expressing feelings 3) friendship between men 4) relationship with fathers 5) issues in handling anger appropriately 6) male and female sex-role stereotypes 7) society's definition of masculinity 8) negative consequences of men's stereotypes 9) exploration of how members of the opposite sex can be hurtful to each other 10) date-rape dynamics and 11) male liberation from stereotypes of masculinity. Lectures are included in the appendices.,"1,2",11,0,NA,4,1,NA,NA,NA,1
Nagler,1993,Anne,Workshop,"Effect of an acquaintance rape prevention program on rape attitudes, knowledge, intent and sexual assault reporting",4,2,NA,126,NA,3,59.52380952,3,3,70.58823529,US,NY,0,1,1,"The 3-hour workshop run by male and female co-leaders followed ""Parrot's Sexual Assault and Acquaintance Rape Prevention Manual,"" consisting of group activities, discussion, lecture, a film, and a handout to address its objectives. The 5 objectives of the workshop were: 1) understand acquaintance rape, 2) explore feelings about acquaintance rape, 3) explore cultural forces that contribute to acquaintance rape and sexual assault, 4) understand the contribution of inconsistent communication patters, and 5) identify prevention strategies. The workshop was co-ed, with some activities completed in single-sex groups.","1,2,4,6",1,0,NA,4,"1,2,5,11",NA,NA,NA,"1,2,5,11"
Schewe,1993,Anne,empathy-treatment,Sexual abuse prevention with high-risk males: the roles of victim empathy and rape myths,1,2,NA,24,NA,1,100,3,3,NA,US,IL,0,3,0.5,The victim-empathy group watched a 45-minute video presentation designed to facilitate empathy toward victims of sexual abuse. Subjects were then guided through scenarios in which they were to imagine themselves as the victim. The video did not try to dispel rape myths or to give facts; the sole emphasis was to present the cognitive and emotional perspective of victims. Subjects watched the videos in small groups of 2-5 individuals. This was compared with the facts-based treatment group.,4,1,0,NA,4,"1,4,6",NA,NA,NA,"1,4,6"
Schewe,1993,Anne,facts-treatment,Sexual abuse prevention with high-risk males: the roles of victim empathy and rape myths,1,2,NA,28,NA,1,100,3,3,NA,US,IL,0,1,0.5,"The rape myths/rape facts treatment group watched a 45-minute video pointin to the importance of knowledge in preventing sexual victimization. They received a variety of facts about rape, sexual harrassment, and child abuse to increase knowledge. Subjects watched the videos in small groups of 2-5 individuals. This was compared with the no-treatment group.",4,1,0,NA,4,"1,4,9",NA,NA,NA,"1,4,9"
